
UniqueId,paperID:ID,Title,PublishInYear:int,Journal Id,Journal Name,Conference Series Id,Conference Series Name,Source URL,Venue Short Name,TimestampAdded,TimestampLastVisited,TimestampMod,:LABEL
20171030024136-001-01-1,1983184768,model calcium sensors for network homeostasis sensor and readout parameter analysis from a database of model neuronal networks,2010,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-33,2204102041,an incident database for improving metro safety the case of shanghai,2016,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-65,2013984441,the expressive power of stratified logic programs with value invention,1998,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-97,1492988898,database management a survey,1989,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-30,2616271757,polyfuse a large scale hybrid data fusion system,2017,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-62,2516469144,unified data management for distributed experiments a model for collaborative grassroots scientific networks,2016,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-94,2491194948,design semantics on accessibility in unstructured data environments,2016,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-27,2026529490,owl schema matching,2010,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-59,1987512054,using gis to design a traffic information database for urban transport planning,1997,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-91,1983808534,perspectives in deductive databases,1988,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-24,2274584817,relational lattices via duality,2016,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-56,1963987932,mining marketing maps for business alliances,2008,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-88,2080747326,graph transformations and software engineering success stories and lost chances,2013,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-21,2157266858,autolabdb a substantial open source database schema to support a high throughput automated laboratory,2012,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-53,2122222257,logic programming and parallel complexity,1986,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-85,2063645305,candidate keys for relations,1978,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-18,1938446369,foundations for a fourth normal form over sql like databases,2012,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-50,2054577392,data schema evolution support in xml relational database systems,2008,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-82,2018843580,derivation digraphs for dependencies in ordinal and similarity based data,2014,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-15,2232563301,uncertainty representation and reasoning in the semantic web,2008,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-47,1984112214,synthesis of unnormalized relations incorporating more meaning,1983,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-79,8899338,interactively eliciting database constraints and dependencies,2011,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-12,1995266699,the development of a forestry geodatabase for natural forest management plans in costa rica,2014,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-44,2063323989,algebraic and calculus query languages for recursively typed complex objects,1993,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-76,2609335432,embeddability into relational lattices is undecidable,2017,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-9,2013973629,efficient self simulation algorithms for reconfigurable arrays,1986,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-41,2016282341,a comparison between algebraic query languages for flat and nested databases,1991,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-73,1503896613,database centric chain of custody in biometric forensic systems,2011,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-6,2016909265,ordered functional dependencies in relational databases,1999,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-38,2082395701,interactions between dependencies and nested relational structures,1985,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-70,2067573922,integrating relational databases and constraint languages,1989,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-3,2080293297,suxess towards a sound unification of extensions of the relational data model,1991,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-35,1995311648,storage cost considerations in secondary index selection,1975,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-67,2171686235,design and implementation of an extended relationship semantics in an odmg compliant oodbms,2005,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-0,2148224250,a database oriented approach to gis designing,2009,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-32,2559789746,strategies to reconstruct 3d coffea arabica l plant structure,2016,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-64,2050339452,modelling an information system using the merise method for agricultural research the example of a database for a study on performances in dairy cows,1992,null,null,null,null,null,null,2017-10-3014:41:45,2017-10-3014:41:45,2017-10-3014:41:45,paper
20171030024136-001-01-52,2044652416,regular sequence operations and their use in database queries,1998,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-84,2009318529,a software environment for image database research,1992,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-17,2103070443,perfect error correcting databases,1990,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-49,1971095985,a grammar of integrity constraints in medical documentation systems,2007,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-81,2044837959,requesting heterogeneous data sources with array comprehensions in hop js,2015,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-14,1945780399,ceradat prototype of a web based relational database for archaeological ceramics,2012,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-46,2256084069,temporal data management and processing with column oriented nosql databases,2015,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-78,2076557592,equivalence and transformation of extended algebraic operators in fuzzy relational databases,2006,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-11,2015894067,an automated tool for relational database design,1989,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-43,1976417244,a new efficient and flexible algorithm for the design of testable subsystems,2010,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-75,2053059053,the complexity of evaluating relational queries,1984,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-8,2045017805,an enhanced construction specific sql,1994,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-40,1904102306,declarations of significance exploring the pragmatic nature of information models,2017,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-72,2087762073,multiple views and abstractions with an extended entity relationship model,1979,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-5,1982079276,structured systems analysis and design method ssadm,1988,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-37,2079445843,on the size of nonredundant fd covers,1987,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-69,2064615874,algebraic semantics of er models in the context of the calculus of relations,2003,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-2,2152795158,object data models,2009,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-34,2617573710,relational databases and biomedical big data,2017,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-66,1968854547,the database designer s workbench,1984,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-98,2082100731,an analysis of multivalued and join dependencies based on the entity relationship approach,1985,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-31,2061304372,a conceptual schema based temporal meta database schemas generation technique for 3d objects,2010,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-63,1998654922,the interaction of integrity constraints in an information system,1980,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-95,2064318029,deriving narrow syntax through constraints on information structure a parallel between linguistic models of displacement and database theory,2008,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-28,2055711191,the automatic generation of test data for a relational database,1983,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-60,2070417127,data schemata based on directed graphs,1979,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-92,1594207043,spatial data management in gis and the coupling of gis and environmental models,2014,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-25,1992747918,database technology in health care,1981,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-57,1995034227,a representation construct for roles,1985,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-89,1967580916,a straightforward formalization of the relational model,1985,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-22,2094959028,composite index in ddbms,1988,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-54,2028563211,formal aspects of the relational model,1978,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-86,1538638223,4 database systems,1993,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-19,2005477342,intelligent support for systems development the notion and the issues,1992,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-51,2055013820,issues in query model design in object oriented database systems,1991,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-83,2567445385,predicting product choice with symbolic regression and classification,2016,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-16,2059849575,an algebra of probability over finite product spaces with applications,1990,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-48,2117062398,spaces of information modeling action and decision making,2012,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-80,287018271,chapter 8 storage systems,2013,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-13,2069371041,relational algebraic framework for the modelling and analysis of petri nets,1995,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-45,2010613120,entwurf einer informationsstruktur fur die materialbedarfsermittlung auf der grundlage objektorientierter datenbanksysteme,1992,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-77,2029203269,convertibility in databases,1980,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-10,2033592565,roles and their role in posing recursive queries,1990,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-42,2016329518,an entity oriented data model mix,1991,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-74,2019282915,anunet the australian national university network structure functions and developments,1980,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-7,1676810881,4 understanding development methodologies,2011,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-39,999440596,15 physical database considerations,2011,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-71,1967957760,microcomputer implementations of an object oriented multiprocessing database programming language,1989,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-4,2072233670,the simplification of data processing systems,1974,null,null,null,null,null,null,2017-10-3014:41:48,2017-10-3014:41:48,2017-10-3014:41:48,paper
20171030024136-001-01-72,1966415209,the organization and use of information contributions of information science computational linguistics and artificial intelligence,1981,null,null,null,null,null,null,2017-10-3014:41:51,2017-10-3014:41:51,2017-10-3014:41:51,paper
20171030024136-001-01-65,2116436709,system r relational approach to database management,1976,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-62,2014575573,semantics preserving sparql to sql translation,2009,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-59,1985239372,database repairing and consistent query answering,2011,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-56,1560510652,a hybrid row column oltp database architecture for operational reporting,2008,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-53,2062564438,ontologies versus relational databases are they so different a comparison,2012,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-50,2000738254,an extensible and active semantic model of information organizing for the internet of things,2014,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-47,2070411573,grey sets and greyness,2012,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-44,2102759215,using customer knowledge in designing electronic catalog,2008,null,null,null,null,null,null,2017-10-3014:41:53,2017-10-3014:41:53,2017-10-3014:41:53,paper
20171030024136-001-01-40,1990042298,a database of computational models of a half center oscillator for analyzing how neuronal parameters influence network activity,2011,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-37,1975458495,algorithmic program synthesis introduction,2013,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-34,1993796605,mining customer knowledge for electronic catalog marketing,2004,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-31,1989329332,pacsy a relational database management system for protein structure and chemical shift analysis,2012,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-28,2027386927,distinguishing and contrasting two strategies for design science research,2015,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-25,2070712658,differential privacy for relational algebra improving the sensitivity bounds via constraint systems,2012,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-22,2085721207,evaluating event visualization a usability study of coplink spatio temporal visualizer,2005,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-19,2047759722,adding decision support to workflow systems by reusable standard software components,2002,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-16,1989267168,queries with arithmetical constraints,1997,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-13,1500369165,how to formalize it formalization principles for information system development methods,1997,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-10,1964807114,a uml profile for the conceptual modelling of structurally complex data,2014,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-7,2073650102,the role of task analysis in systems design,1992,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-4,2170980999,on expanding the scope of design science in is research,2011,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-1,2135327836,creating socially networked knowledge through interdisciplinary collaboration,2012,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-97,1596906225,insect biodiversity in the afrotropical region,2009,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-94,2084592962,normalization based on fuzzy functional dependency in a fuzzy relational data model,1996,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-91,2064845711,toward a model of representation changes,1980,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-88,2024392593,querying moving events in wireless sensor networks,2015,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-85,2053293422,multi level security in database management systems,1987,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-82,1585796231,a time bound on the materialization of some recursively defined views,1985,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-79,2078590814,temporal semantics in information systems a survey,1992,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-76,2089795755,fuzzy conditional probability relations and their applications in fuzzy information systems,2004,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-73,2080040283,simple and safe sql queries with c templates,2010,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-70,2314037522,artificial intelligence in manufacturing planning and control,1980,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-67,2111743019,guidelines for representing complex cardinality constraints in binary and ternary relationships,2013,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-64,2504458531,syntax deep explorer,2016,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-61,1978694557,development of web based analysis system for real time decision support on arterial networks,2011,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-58,2007203829,the time dimension in conceptual modelling,1991,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-55,2092058806,adds a system for automatic database schema design based on the binary relationship model,1987,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-52,2065555837,the dependency preserving decomposition and a testing algorithm in a fuzzy relational data model,1995,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-49,1969368990,temporal aspects of logical procedure definition,1980,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-46,1569224571,a skeleton design theory for spatial data infrastructure,2009,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-43,2140157077,dynamic relational behaviour for large scale systems,2009,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-40,2015455166,an object oriented data model formalised through hypergraphs,1991,null,null,null,null,null,null,2017-10-3014:41:55,2017-10-3014:41:55,2017-10-3014:41:55,paper
20171030024136-001-01-44,1986644012,role of data dictionaries in information resource management,1986,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-41,2043098786,architecture of distributed data base systems,1989,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-38,170143110,chapter 3 a practitioner s guide to data management and data integration in bioinformatics,2003,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-35,2004291479,logical foundations for database systems,1979,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-32,2189324248,concept oriented query language,2014,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-29,1985779625,logical aspects of learning concepts,1988,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-26,2007506522,on the number of databases and closure operations,1991,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-23,2031994147,integrating and mining distributed environmental archives on grids,2007,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-20,176406507,john mylopoulos sewing seeds of conceptual modelling,2009,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-17,2069597938,the powerset algebra as a natural tool to handle nested database relations,1992,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-14,1979809504,an integrated framework for enterprise modeling,1992,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
20171030024136-001-01-11,2330383524,the relational database system of km3net,2016,null,null,null,null,null,null,2017-10-3014:41:58,2017-10-3014:41:58,2017-10-3014:41:58,paper
